frase,codice
mostra 6,print(6)
mostra numero 6,print(6)
mostra il valore 6,print(6)
mostra 7,print(7)
mostra numero 7,print(7)
mostra il valore 7,print(7)
mostra 8,print(8)
mostra numero 8,print(8)
mostra il valore 8,print(8)
mostra 9,print(9)
mostra numero 9,print(9)
mostra il valore 9,print(9)
mostra 10,print(10)
mostra numero 10,print(10)
mostra il valore 10,print(10)
mostra 11,print(11)
mostra numero 11,print(11)
mostra il valore 11,print(11)
mostra 12,print(12)
mostra numero 12,print(12)
mostra il valore 12,print(12)
mostra 13,print(13)
mostra numero 13,print(13)
mostra il valore 13,print(13)
mostra 14,print(14)
mostra numero 14,print(14)
mostra il valore 14,print(14)
mostra 15,print(15)
mostra numero 15,print(15)
mostra il valore 15,print(15)
mostra 16,print(16)
mostra numero 16,print(16)
mostra il valore 16,print(16)
mostra 17,print(17)
mostra numero 17,print(17)
mostra il valore 17,print(17)
mostra 18,print(18)
mostra numero 18,print(18)
mostra il valore 18,print(18)
mostra 19,print(19)
mostra numero 19,print(19)
mostra il valore 19,print(19)
mostra 20,print(20)
mostra numero 20,print(20)
mostra il valore 20,print(20)
mostra 21,print(21)
mostra numero 21,print(21)
mostra il valore 21,print(21)
mostra 22,print(22)
mostra numero 22,print(22)
mostra il valore 22,print(22)
mostra 23,print(23)
mostra numero 23,print(23)
mostra il valore 23,print(23)
mostra 24,print(24)
mostra numero 24,print(24)
mostra il valore 24,print(24)
mostra 25,print(25)
mostra numero 25,print(25)
mostra il valore 25,print(25)
mostra 26,print(26)
mostra numero 26,print(26)
mostra il valore 26,print(26)
mostra 27,print(27)
mostra numero 27,print(27)
mostra il valore 27,print(27)
mostra 28,print(28)
mostra numero 28,print(28)
mostra il valore 28,print(28)
mostra 29,print(29)
mostra numero 29,print(29)
mostra il valore 29,print(29)
mostra 30,print(30)
mostra numero 30,print(30)
mostra il valore 30,print(30)
mostra 31,print(31)
mostra numero 31,print(31)
mostra il valore 31,print(31)
mostra 32,print(32)
mostra numero 32,print(32)
mostra il valore 32,print(32)
mostra 33,print(33)
mostra numero 33,print(33)
mostra il valore 33,print(33)
mostra 34,print(34)
mostra numero 34,print(34)
mostra il valore 34,print(34)
mostra 35,print(35)
mostra numero 35,print(35)
mostra il valore 35,print(35)
mostra 36,print(36)
mostra numero 36,print(36)
mostra il valore 36,print(36)
mostra 37,print(37)
mostra numero 37,print(37)
mostra il valore 37,print(37)
mostra 38,print(38)
mostra numero 38,print(38)
mostra il valore 38,print(38)
mostra 39,print(39)
mostra numero 39,print(39)
mostra il valore 39,print(39)
mostra 40,print(40)
mostra numero 40,print(40)
mostra il valore 40,print(40)
mostra 41,print(41)
mostra numero 41,print(41)
mostra il valore 41,print(41)
mostra 42,print(42)
mostra numero 42,print(42)
mostra il valore 42,print(42)
mostra 43,print(43)
mostra numero 43,print(43)
mostra il valore 43,print(43)
mostra 44,print(44)
mostra numero 44,print(44)
mostra il valore 44,print(44)
mostra 45,print(45)
mostra numero 45,print(45)
mostra il valore 45,print(45)
mostra 46,print(46)
mostra numero 46,print(46)
mostra il valore 46,print(46)
mostra 47,print(47)
mostra numero 47,print(47)
mostra il valore 47,print(47)
mostra 48,print(48)
mostra numero 48,print(48)
mostra il valore 48,print(48)
mostra 49,print(49)
mostra numero 49,print(49)
mostra il valore 49,print(49)
visualizza ciao,print('ciao')
visualizza mondo,print('mondo')
visualizza hello,print('hello')
visualizza test,print('test')
visualizza risultato,print('risultato')
visualizza valore,print('valore')
visualizza dato,print('dato')
visualizza info,print('info')
visualizza messaggio,print('messaggio')
visualizza testo,print('testo')
visualizza 0,print(0)
visualizza numero 0,print(0)
visualizza il valore 0,print(0)
visualizza 1,print(1)
visualizza numero 1,print(1)
visualizza il valore 1,print(1)
visualizza 2,print(2)
visualizza numero 2,print(2)
visualizza il valore 2,print(2)
visualizza 3,print(3)
visualizza numero 3,print(3)
visualizza il valore 3,print(3)
visualizza 4,print(4)
visualizza numero 4,print(4)
visualizza il valore 4,print(4)
visualizza 5,print(5)
visualizza numero 5,print(5)
visualizza il valore 5,print(5)
visualizza 6,print(6)
visualizza numero 6,print(6)
visualizza il valore 6,print(6)
visualizza 7,print(7)
visualizza numero 7,print(7)
visualizza il valore 7,print(7)
visualizza 8,print(8)
visualizza numero 8,print(8)
visualizza il valore 8,print(8)
visualizza 9,print(9)
visualizza numero 9,print(9)
visualizza il valore 9,print(9)
visualizza 10,print(10)
visualizza numero 10,print(10)
visualizza il valore 10,print(10)
visualizza 11,print(11)
visualizza numero 11,print(11)
visualizza il valore 11,print(11)
visualizza 12,print(12)
visualizza numero 12,print(12)
visualizza il valore 12,print(12)
visualizza 13,print(13)
visualizza numero 13,print(13)
visualizza il valore 13,print(13)
visualizza 14,print(14)
visualizza numero 14,print(14)
visualizza il valore 14,print(14)
visualizza 15,print(15)
visualizza numero 15,print(15)
visualizza il valore 15,print(15)
visualizza 16,print(16)
visualizza numero 16,print(16)
visualizza il valore 16,print(16)
visualizza 17,print(17)
visualizza numero 17,print(17)
visualizza il valore 17,print(17)
visualizza 18,print(18)
visualizza numero 18,print(18)
visualizza il valore 18,print(18)
visualizza 19,print(19)
visualizza numero 19,print(19)
visualizza il valore 19,print(19)
visualizza 20,print(20)
visualizza numero 20,print(20)
visualizza il valore 20,print(20)
visualizza 21,print(21)
visualizza numero 21,print(21)
visualizza il valore 21,print(21)
visualizza 22,print(22)
visualizza numero 22,print(22)
visualizza il valore 22,print(22)
visualizza 23,print(23)
visualizza numero 23,print(23)
visualizza il valore 23,print(23)
visualizza 24,print(24)
visualizza numero 24,print(24)
visualizza il valore 24,print(24)
visualizza 25,print(25)
visualizza numero 25,print(25)
visualizza il valore 25,print(25)
visualizza 26,print(26)
visualizza numero 26,print(26)
visualizza il valore 26,print(26)
visualizza 27,print(27)
visualizza numero 27,print(27)
visualizza il valore 27,print(27)
visualizza 28,print(28)
visualizza numero 28,print(28)
visualizza il valore 28,print(28)
visualizza 29,print(29)
visualizza numero 29,print(29)
visualizza il valore 29,print(29)
visualizza 30,print(30)
visualizza numero 30,print(30)
visualizza il valore 30,print(30)
visualizza 31,print(31)
visualizza numero 31,print(31)
visualizza il valore 31,print(31)
visualizza 32,print(32)
visualizza numero 32,print(32)
visualizza il valore 32,print(32)
visualizza 33,print(33)
visualizza numero 33,print(33)
visualizza il valore 33,print(33)
visualizza 34,print(34)
visualizza numero 34,print(34)
visualizza il valore 34,print(34)
visualizza 35,print(35)
visualizza numero 35,print(35)
visualizza il valore 35,print(35)
visualizza 36,print(36)
visualizza numero 36,print(36)
visualizza il valore 36,print(36)
visualizza 37,print(37)
visualizza numero 37,print(37)
visualizza il valore 37,print(37)
visualizza 38,print(38)
visualizza numero 38,print(38)
visualizza il valore 38,print(38)
visualizza 39,print(39)
visualizza numero 39,print(39)
visualizza il valore 39,print(39)
visualizza 40,print(40)
visualizza numero 40,print(40)
visualizza il valore 40,print(40)
visualizza 41,print(41)
visualizza numero 41,print(41)
visualizza il valore 41,print(41)
visualizza 42,print(42)
visualizza numero 42,print(42)
visualizza il valore 42,print(42)
visualizza 43,print(43)
visualizza numero 43,print(43)
visualizza il valore 43,print(43)
visualizza 44,print(44)
visualizza numero 44,print(44)
visualizza il valore 44,print(44)
visualizza 45,print(45)
visualizza numero 45,print(45)
visualizza il valore 45,print(45)
visualizza 46,print(46)
visualizza numero 46,print(46)
visualizza il valore 46,print(46)
visualizza 47,print(47)
visualizza numero 47,print(47)
visualizza il valore 47,print(47)
visualizza 48,print(48)
visualizza numero 48,print(48)
visualizza il valore 48,print(48)
visualizza 49,print(49)
visualizza numero 49,print(49)
visualizza il valore 49,print(49)
scrivi ciao,print('ciao')
scrivi mondo,print('mondo')
scrivi hello,print('hello')
scrivi test,print('test')
scrivi risultato,print('risultato')
scrivi valore,print('valore')
scrivi dato,print('dato')
scrivi info,print('info')
scrivi messaggio,print('messaggio')
scrivi testo,print('testo')
scrivi 0,print(0)
scrivi numero 0,print(0)
scrivi il valore 0,print(0)
scrivi 1,print(1)
scrivi numero 1,print(1)
scrivi il valore 1,print(1)
scrivi 2,print(2)
scrivi numero 2,print(2)
scrivi il valore 2,print(2)
scrivi 3,print(3)
scrivi numero 3,print(3)
scrivi il valore 3,print(3)
scrivi 4,print(4)
scrivi numero 4,print(4)
scrivi il valore 4,print(4)
scrivi 5,print(5)
scrivi numero 5,print(5)
scrivi il valore 5,print(5)
scrivi 6,print(6)
scrivi numero 6,print(6)
scrivi il valore 6,print(6)
scrivi 7,print(7)
scrivi numero 7,print(7)
scrivi il valore 7,print(7)
scrivi 8,print(8)
scrivi numero 8,print(8)
scrivi il valore 8,print(8)
scrivi 9,print(9)
scrivi numero 9,print(9)
scrivi il valore 9,print(9)
scrivi 10,print(10)
scrivi numero 10,print(10)
scrivi il valore 10,print(10)
scrivi 11,print(11)
scrivi numero 11,print(11)
scrivi il valore 11,print(11)
scrivi 12,print(12)
scrivi numero 12,print(12)
scrivi il valore 12,print(12)
scrivi 13,print(13)
scrivi numero 13,print(13)
scrivi il valore 13,print(13)
scrivi 14,print(14)
scrivi numero 14,print(14)
scrivi il valore 14,print(14)
scrivi 15,print(15)
scrivi numero 15,print(15)
scrivi il valore 15,print(15)
scrivi 16,print(16)
scrivi numero 16,print(16)
scrivi il valore 16,print(16)
scrivi 17,print(17)
scrivi numero 17,print(17)
scrivi il valore 17,print(17)
scrivi 18,print(18)
scrivi numero 18,print(18)
scrivi il valore 18,print(18)
scrivi 19,print(19)
scrivi numero 19,print(19)
scrivi il valore 19,print(19)
scrivi 20,print(20)
scrivi numero 20,print(20)
scrivi il valore 20,print(20)
scrivi 21,print(21)
scrivi numero 21,print(21)
scrivi il valore 21,print(21)
scrivi 22,print(22)
scrivi numero 22,print(22)
scrivi il valore 22,print(22)
scrivi 23,print(23)
scrivi numero 23,print(23)
scrivi il valore 23,print(23)
scrivi 24,print(24)
scrivi numero 24,print(24)
scrivi il valore 24,print(24)
scrivi 25,print(25)
scrivi numero 25,print(25)
scrivi il valore 25,print(25)
scrivi 26,print(26)
scrivi numero 26,print(26)
scrivi il valore 26,print(26)
scrivi 27,print(27)
scrivi numero 27,print(27)
scrivi il valore 27,print(27)
scrivi 28,print(28)
scrivi numero 28,print(28)
scrivi il valore 28,print(28)
scrivi 29,print(29)
scrivi numero 29,print(29)
scrivi il valore 29,print(29)
scrivi 30,print(30)
scrivi numero 30,print(30)
scrivi il valore 30,print(30)
scrivi 31,print(31)
scrivi numero 31,print(31)
scrivi il valore 31,print(31)
scrivi 32,print(32)
scrivi numero 32,print(32)
scrivi il valore 32,print(32)
scrivi 33,print(33)
scrivi numero 33,print(33)
scrivi il valore 33,print(33)
scrivi 34,print(34)
scrivi numero 34,print(34)
scrivi il valore 34,print(34)
scrivi 35,print(35)
scrivi numero 35,print(35)
scrivi il valore 35,print(35)
scrivi 36,print(36)
scrivi numero 36,print(36)
scrivi il valore 36,print(36)
scrivi 37,print(37)
scrivi numero 37,print(37)
scrivi il valore 37,print(37)
scrivi 38,print(38)
scrivi numero 38,print(38)
scrivi il valore 38,print(38)
scrivi 39,print(39)
scrivi numero 39,print(39)
scrivi il valore 39,print(39)
scrivi 40,print(40)
scrivi numero 40,print(40)
scrivi il valore 40,print(40)
scrivi 41,print(41)
scrivi numero 41,print(41)
scrivi il valore 41,print(41)
scrivi 42,print(42)
scrivi numero 42,print(42)
scrivi il valore 42,print(42)
scrivi 43,print(43)
scrivi numero 43,print(43)
scrivi il valore 43,print(43)
scrivi 44,print(44)
scrivi numero 44,print(44)
scrivi il valore 44,print(44)
scrivi 45,print(45)
scrivi numero 45,print(45)
scrivi il valore 45,print(45)
scrivi 46,print(46)
scrivi numero 46,print(46)
scrivi il valore 46,print(46)
scrivi 47,print(47)
scrivi numero 47,print(47)
scrivi il valore 47,print(47)
scrivi 48,print(48)
scrivi numero 48,print(48)
scrivi il valore 48,print(48)
scrivi 49,print(49)
scrivi numero 49,print(49)
scrivi il valore 49,print(49)
esponi ciao,print('ciao')
esponi mondo,print('mondo')
esponi hello,print('hello')
esponi test,print('test')
esponi risultato,print('risultato')
esponi valore,print('valore')
esponi dato,print('dato')
esponi info,print('info')
esponi messaggio,print('messaggio')
esponi testo,print('testo')
esponi 0,print(0)
esponi numero 0,print(0)
esponi il valore 0,print(0)
esponi 1,print(1)
esponi numero 1,print(1)
esponi il valore 1,print(1)
esponi 2,print(2)
esponi numero 2,print(2)
esponi il valore 2,print(2)
esponi 3,print(3)
esponi numero 3,print(3)
esponi il valore 3,print(3)
esponi 4,print(4)
esponi numero 4,print(4)
esponi il valore 4,print(4)
esponi 5,print(5)
esponi numero 5,print(5)
esponi il valore 5,print(5)
esponi 6,print(6)
esponi numero 6,print(6)
esponi il valore 6,print(6)
esponi 7,print(7)
esponi numero 7,print(7)
esponi il valore 7,print(7)
esponi 8,print(8)
esponi numero 8,print(8)
esponi il valore 8,print(8)
esponi 9,print(9)
esponi numero 9,print(9)
esponi il valore 9,print(9)
esponi 10,print(10)
esponi numero 10,print(10)
esponi il valore 10,print(10)
esponi 11,print(11)
esponi numero 11,print(11)
esponi il valore 11,print(11)
esponi 12,print(12)
esponi numero 12,print(12)
esponi il valore 12,print(12)
esponi 13,print(13)
esponi numero 13,print(13)
esponi il valore 13,print(13)
esponi 14,print(14)
esponi numero 14,print(14)
esponi il valore 14,print(14)
esponi 15,print(15)
esponi numero 15,print(15)
esponi il valore 15,print(15)
esponi 16,print(16)
esponi numero 16,print(16)
esponi il valore 16,print(16)
esponi 17,print(17)
esponi numero 17,print(17)
esponi il valore 17,print(17)
esponi 18,print(18)
esponi numero 18,print(18)
esponi il valore 18,print(18)
esponi 19,print(19)
esponi numero 19,print(19)
esponi il valore 19,print(19)
esponi 20,print(20)
esponi numero 20,print(20)
esponi il valore 20,print(20)
esponi 21,print(21)
esponi numero 21,print(21)
esponi il valore 21,print(21)
esponi 22,print(22)
esponi numero 22,print(22)
esponi il valore 22,print(22)
esponi 23,print(23)
esponi numero 23,print(23)
esponi il valore 23,print(23)
esponi 24,print(24)
esponi numero 24,print(24)
esponi il valore 24,print(24)
esponi 25,print(25)
esponi numero 25,print(25)
esponi il valore 25,print(25)
esponi 26,print(26)
esponi numero 26,print(26)
esponi il valore 26,print(26)
esponi 27,print(27)
esponi numero 27,print(27)
esponi il valore 27,print(27)
esponi 28,print(28)
esponi numero 28,print(28)
esponi il valore 28,print(28)
esponi 29,print(29)
esponi numero 29,print(29)
esponi il valore 29,print(29)
esponi 30,print(30)
esponi numero 30,print(30)
esponi il valore 30,print(30)
esponi 31,print(31)
esponi numero 31,print(31)
esponi il valore 31,print(31)
esponi 32,print(32)
esponi numero 32,print(32)
esponi il valore 32,print(32)
esponi 33,print(33)
esponi numero 33,print(33)
esponi il valore 33,print(33)
esponi 34,print(34)
esponi numero 34,print(34)
esponi il valore 34,print(34)
esponi 35,print(35)
esponi numero 35,print(35)
esponi il valore 35,print(35)
esponi 36,print(36)
esponi numero 36,print(36)
esponi il valore 36,print(36)
esponi 37,print(37)
esponi numero 37,print(37)
esponi il valore 37,print(37)
esponi 38,print(38)
esponi numero 38,print(38)
esponi il valore 38,print(38)
esponi 39,print(39)
esponi numero 39,print(39)
esponi il valore 39,print(39)
esponi 40,print(40)
esponi numero 40,print(40)
esponi il valore 40,print(40)
esponi 41,print(41)
esponi numero 41,print(41)
esponi il valore 41,print(41)
esponi 42,print(42)
esponi numero 42,print(42)
esponi il valore 42,print(42)
esponi 43,print(43)
esponi numero 43,print(43)
esponi il valore 43,print(43)
esponi 44,print(44)
esponi numero 44,print(44)
esponi il valore 44,print(44)
esponi 45,print(45)
esponi numero 45,print(45)
esponi il valore 45,print(45)
esponi 46,print(46)
esponi numero 46,print(46)
esponi il valore 46,print(46)
esponi 47,print(47)
esponi numero 47,print(47)
esponi il valore 47,print(47)
esponi 48,print(48)
esponi numero 48,print(48)
esponi il valore 48,print(48)
esponi 49,print(49)
esponi numero 49,print(49)
esponi il valore 49,print(49)
output ciao,print('ciao')
output mondo,print('mondo')
output hello,print('hello')
output test,print('test')
output risultato,print('risultato')
output valore,print('valore')
output dato,print('dato')
output info,print('info')
output messaggio,print('messaggio')
output testo,print('testo')
output 0,print(0)
output numero 0,print(0)
output il valore 0,print(0)
output 1,print(1)
output numero 1,print(1)
output il valore 1,print(1)
output 2,print(2)
output numero 2,print(2)
output il valore 2,print(2)
output 3,print(3)
output numero 3,print(3)
output il valore 3,print(3)
output 4,print(4)
output numero 4,print(4)
output il valore 4,print(4)
output 5,print(5)
output numero 5,print(5)
output il valore 5,print(5)
output 6,print(6)
output numero 6,print(6)
output il valore 6,print(6)
output 7,print(7)
output numero 7,print(7)
output il valore 7,print(7)
output 8,print(8)
output numero 8,print(8)
output il valore 8,print(8)
output 9,print(9)
output numero 9,print(9)
output il valore 9,print(9)
output 10,print(10)
output numero 10,print(10)
output il valore 10,print(10)
output 11,print(11)
output numero 11,print(11)
output il valore 11,print(11)
output 12,print(12)
output numero 12,print(12)
output il valore 12,print(12)
output 13,print(13)
output numero 13,print(13)
output il valore 13,print(13)
output 14,print(14)
output numero 14,print(14)
output il valore 14,print(14)
output 15,print(15)
output numero 15,print(15)
output il valore 15,print(15)
output 16,print(16)
output numero 16,print(16)
output il valore 16,print(16)
output 17,print(17)
output numero 17,print(17)
output il valore 17,print(17)
output 18,print(18)
output numero 18,print(18)
output il valore 18,print(18)
output 19,print(19)
output numero 19,print(19)
output il valore 19,print(19)
output 20,print(20)
output numero 20,print(20)
output il valore 20,print(20)
output 21,print(21)
output numero 21,print(21)
output il valore 21,print(21)
output 22,print(22)
output numero 22,print(22)
output il valore 22,print(22)
output 23,print(23)
output numero 23,print(23)
output il valore 23,print(23)
output 24,print(24)
output numero 24,print(24)
output il valore 24,print(24)
output 25,print(25)
output numero 25,print(25)
output il valore 25,print(25)
output 26,print(26)
output numero 26,print(26)
output il valore 26,print(26)
output 27,print(27)
output numero 27,print(27)
output il valore 27,print(27)
output 28,print(28)
output numero 28,print(28)
output il valore 28,print(28)
output 29,print(29)
output numero 29,print(29)
output il valore 29,print(29)
output 30,print(30)
output numero 30,print(30)
output il valore 30,print(30)
output 31,print(31)
output numero 31,print(31)
output il valore 31,print(31)
output 32,print(32)
output numero 32,print(32)
output il valore 32,print(32)
output 33,print(33)
output numero 33,print(33)
output il valore 33,print(33)
output 34,print(34)
output numero 34,print(34)
output il valore 34,print(34)
output 35,print(35)
output numero 35,print(35)
output il valore 35,print(35)
output 36,print(36)
output numero 36,print(36)
output il valore 36,print(36)
output 37,print(37)
output numero 37,print(37)
output il valore 37,print(37)
output 38,print(38)
output numero 38,print(38)
output il valore 38,print(38)
output 39,print(39)
output numero 39,print(39)
output il valore 39,print(39)
output 40,print(40)
output numero 40,print(40)
output il valore 40,print(40)
output 41,print(41)
output numero 41,print(41)
output il valore 41,print(41)
output 42,print(42)
output numero 42,print(42)
output il valore 42,print(42)
output 43,print(43)
output numero 43,print(43)
output il valore 43,print(43)
output 44,print(44)
output numero 44,print(44)
output il valore 44,print(44)
output 45,print(45)
output numero 45,print(45)
output il valore 45,print(45)
output 46,print(46)
output numero 46,print(46)
output il valore 46,print(46)
output 47,print(47)
output numero 47,print(47)
output il valore 47,print(47)
output 48,print(48)
output numero 48,print(48)
output il valore 48,print(48)
output 49,print(49)
output numero 49,print(49)
output il valore 49,print(49)
fai vedere ciao,print('ciao')
fai vedere mondo,print('mondo')
fai vedere hello,print('hello')
fai vedere test,print('test')
fai vedere risultato,print('risultato')
fai vedere valore,print('valore')
fai vedere dato,print('dato')
fai vedere info,print('info')
fai vedere messaggio,print('messaggio')
fai vedere testo,print('testo')
fai vedere 0,print(0)
fai vedere numero 0,print(0)
fai vedere il valore 0,print(0)
fai vedere 1,print(1)
fai vedere numero 1,print(1)
fai vedere il valore 1,print(1)
fai vedere 2,print(2)
fai vedere numero 2,print(2)
fai vedere il valore 2,print(2)
fai vedere 3,print(3)
fai vedere numero 3,print(3)
fai vedere il valore 3,print(3)
fai vedere 4,print(4)
fai vedere numero 4,print(4)
fai vedere il valore 4,print(4)
fai vedere 5,print(5)
fai vedere numero 5,print(5)
fai vedere il valore 5,print(5)
fai vedere 6,print(6)
fai vedere numero 6,print(6)
fai vedere il valore 6,print(6)
fai vedere 7,print(7)
fai vedere numero 7,print(7)
fai vedere il valore 7,print(7)
fai vedere 8,print(8)
fai vedere numero 8,print(8)
fai vedere il valore 8,print(8)
fai vedere 9,print(9)
fai vedere numero 9,print(9)
fai vedere il valore 9,print(9)
fai vedere 10,print(10)
fai vedere numero 10,print(10)
fai vedere il valore 10,print(10)
fai vedere 11,print(11)
fai vedere numero 11,print(11)
fai vedere il valore 11,print(11)
fai vedere 12,print(12)
fai vedere numero 12,print(12)
fai vedere il valore 12,print(12)
fai vedere 13,print(13)
fai vedere numero 13,print(13)
fai vedere il valore 13,print(13)
fai vedere 14,print(14)
fai vedere numero 14,print(14)
fai vedere il valore 14,print(14)
fai vedere 15,print(15)
fai vedere numero 15,print(15)
fai vedere il valore 15,print(15)
fai vedere 16,print(16)
fai vedere numero 16,print(16)
fai vedere il valore 16,print(16)
fai vedere 17,print(17)
fai vedere numero 17,print(17)
fai vedere il valore 17,print(17)
fai vedere 18,print(18)
fai vedere numero 18,print(18)
fai vedere il valore 18,print(18)
fai vedere 19,print(19)
fai vedere numero 19,print(19)
fai vedere il valore 19,print(19)
fai vedere 20,print(20)
fai vedere numero 20,print(20)
fai vedere il valore 20,print(20)
fai vedere 21,print(21)
fai vedere numero 21,print(21)
fai vedere il valore 21,print(21)
fai vedere 22,print(22)
fai vedere numero 22,print(22)
fai vedere il valore 22,print(22)
fai vedere 23,print(23)
fai vedere numero 23,print(23)
fai vedere il valore 23,print(23)
fai vedere 24,print(24)
fai vedere numero 24,print(24)
fai vedere il valore 24,print(24)
fai vedere 25,print(25)
fai vedere numero 25,print(25)
fai vedere il valore 25,print(25)
fai vedere 26,print(26)
fai vedere numero 26,print(26)
fai vedere il valore 26,print(26)
fai vedere 27,print(27)
fai vedere numero 27,print(27)
fai vedere il valore 27,print(27)
fai vedere 28,print(28)
fai vedere numero 28,print(28)
fai vedere il valore 28,print(28)
fai vedere 29,print(29)
fai vedere numero 29,print(29)
